Thème;Catégorie;Mot francais;Synonyme francais;Description;Traduction;TradEG;TradD;TradA;TradH;TradAv;TradP;TradX
Cuisine;Les Moulins A Huile â;Fond De La Grande Auge DUn Moulin é Huile Eg;;;Piloun;;;;;;;
Cuisine;Les Moulins A Huile â;Fosse De Moulin DHuile X;;;Redable Rediable;;;;;;;
Cuisine;Les Moulins A Huile â;Fosse Ou LOn Entasse Les Olives Pour Les Faire Murir Brignoles Eg;;;Presso;;;;;;;
Cuisine;Les Moulins A Huile â;Grosse Marmite En Cuivre Posée Sur Le Feu Oé Boue De LEau;;;Truei;;;;;;;
Cuisine;Les Moulins A Huile â;Homme Qui Apporte Ses Olives Au Moulin Pour Faire Son Huile Av;;;Maioutin;;;;;;;
Cuisine;Les Moulins A Huile â;Huile DOlive Vierge X;;;Retrouiun;;;;;;;
Cuisine;Les Moulins A Huile â;Huile DUn Second Pressurage X;;;Lipeteja Lipeta;;;;;;;
Cuisine;Les Moulins A Huile â;Laver Une Seconde Fois Le Marc Des Olives Pour En Retirer LHuile Des Olives Qui SY Trouve Encore X;;;Rabaioun;;;;;;;
Cuisine;Les Moulins A Huile â;Les Olives;;;Fabi Ou Faro;;;;;;;
Cuisine;Les Moulins A Huile â;Lie De LHuile X;;;Cuilli LOli;;;;;;;
Cuisine;Les Moulins A Huile â;Maitre Valet Chargé De Ramsser LHuile Dans Les Tonnes Du Moulin Eg;;;Rispa;;;;;;;
Cuisine;Les Moulins A Huile â;Maladie De LOlivier;;;Escourtina;;;;;;;
Cuisine;Les Moulins A Huile â;Marc DOlive QuOn Léve En Motte De Dedans Le CabasEgP;;;Ouerri;;;;;;;
Cuisine;Les Moulins A Huile â;Marc Des Olives Ou Caquo A Lie De LHuile DOlive A X Véuso X;;;Grignoun Aussoun;;;;;;;Aussoun
Cuisine;Les Moulins A Huile â;Mesure DUn Double Décalitre Contenant 17 Kgs Environ DOlives Valant Doues Panaou Un Civadié Av;;;Maire;;;;;;;
Cuisine;Les Moulins A Huile â;Mesure DUn Peu Plus DUn Litre Pot é Eau X;;;Rode;;;;;;;
Cuisine;Les Moulins A Huile â;Mettre Dans Le Cabas La Péte Des Olives X;;;Escourtin Scourtin Ou Espourtin;;Espourtin;Escourtin;;;;
Cuisine;Les Moulins A Huile â;Meule DUn Moulin é Huile Av;;;TinéouDe Moulin DOli;;;;;;;
Cuisine;Les Moulins A Huile â;Meule Qui Tourne Dans LAuge Av;;;Recenso Recénso;;;;;;;Recénso
Cuisine;Les Moulins A Huile â;Olives écrasées;;;BardequoOu Councianéo;;;;;;;
Cuisine;Les Moulins A Huile â;Olives Qui Fermentent Av;;;Lipeto Naveto;;;;;;;
Cuisine;Les Moulins A Huile â;Ouvrier Chargé De La Mouture Des Olives X;;;Ploujoun;;;;;;;
Cuisine;Les Moulins A Huile â;Ouvrier DUn Pressoir é Huile X;;;Pousadou;;;;;;;
Cuisine;Les Moulins A Huile â;Ouvrier Qui Met Les Olives Sous La Meule X;;;Tiro éli;;;;;;;
Cuisine;Les Moulins A Huile â;Peau Des Olives X;;;Demarrar Desmarra;;;;;;;Desmarra
Cuisine;Les Moulins A Huile â;Pile De Scourtins QuOn Va Presser Eg;;;Secura;;;;;;;
Cuisine;Les Moulins A Huile â;Pilon Pour Piler Eg;;;Pantouqueto;;;;;;;
Cuisine;Les Moulins A Huile â;Planche Du Bas De LArbre DUn Moulin é Huile X;;;Oouliveio éuliveio;;;;;;;éuliveio
Cuisine;Les Moulins A Huile â;Presses é Bras;;;Chaplan;;;;;;;
Cuisine;Les Moulins A Huile â;Pressoir X;;;Couteou Serro;;;;;;;
Cuisine;Les Moulins A Huile â;Pressoir é Olives X;;;Berri Bérri;;;;;Berri;;Bérri
Cuisine;Les Moulins A Huile â;Produit DUn Second Pressurage Droit De Pressurage Mauvaise Huile X;;;Oouliveiris Ooulivaire Cueilleur;;;Cueilleur;;;;
Cuisine;Les Moulins A Huile â;Ramasser LHuile Avec La Lipeto Ustensile DUn Moulin é Huile X;;;Ooulivar Ou Debrouar Auliva Oouliva Ou Oouriva;;;;;;Auliva;
Cuisine;Les Moulins A Huile â;Ramoneur De LArbre DUn Moulin é Huile Eg;;;Deglena Degruna Esboussela;;;;;;;Degruna Esboussela
Cuisine;Les Moulins A Huile â;Récipients Pour Stocker LHuile;;;Ooulivettos;;;Ooulivettos;;;;
Cuisine;Les Moulins A Huile â;Récupérer LHuile é La Surface Des Récipients De Surverse;;;Ancoou;;;;;;;
Cuisine;Les Moulins A Huile â;Remettre Sous La Meule La Péte Des Olives X;;;Escarassoun;;;;;;;
Cuisine;Les Moulins A Huile â;Remplir Les Scourtins De Péte DOlives Pour La Pressurer Av;;;Eibuscaire;;;;;;;
Cuisine;Les Moulins A Huile â;Réservoir Ou LOn Dépose Les Olives Avant De Les Mettre Sous La Meule A;;;Rasqueto;;;;;;;Rasqueto
Cuisine;Les Moulins A Huile â;Résidu Des Noyaux Olives Cassés Av Noyaux Eg Noyaux A Marc DOlives;;;Feissino;;;;;;;
Cuisine;Les Moulins A Huile â;Restant Fond De Cuve Av;;;Fourneou;;;;;;;
Cuisine;Les Moulins A Huile â;Roue En Pierre Tournant Sur Un Axe Dans Une Cuvette En Pierre;;;RasimaOu Rima;;;;;;;Rima
Cuisine;Les Moulins A Huile â;Scourtins A Récipients En Jute;;;Tano;;;;;;;Tano
Cuisine;Les Moulins A Huile â;Tonneau Dans Lequel On Met LHuile échaudée Eg;;;Bousserlo;;;;;;;Bousserlo
Cuisine;Les Moulins A Huile â;Usine Ou LOn Relave Le Marc Des Olives Et Dont On Tire Une Huile Destinée Aux Fabriques De Savons De Chandelles Ou Combu;;;Pichoulino;;;Pichoulino;;;;
Cuisine;Les Moulins A Huile â;Ustensile Fer Blanc Pour Prendre LHuile Au Moulin Av;;;SaunoClusso;;;;;;;
Cuisine;Les Moulins A Huile â;Ustensile Pour Amasser LHuile X;;;Cuilléto Aulivados Cuyetto;;;;;Cuyetto;Aulivados;
Cuisine;Les Moulins A Huile â;Ustensile Pour Puiser LHuile X;;;Ooulivo Aulivo Mais Incorrect;;;Ooulivo Aulivo;;;;
Cuisine;Les Moulins A Huile â;Ustensile Pour Puiser LHuile X;;;Carcan;;;;;;;
Cuisine;Les Moulins A Huile â;Ustensile Pour Puiser LHuile X;;;Fachouiro;;;;;;;
Cuisine;Les Moulins A Huile â;Vider LAuge DUn Moulin é Huile;;;Ooulivier Ooulivié;;;Ooulivier;;Ooulivié;;
Cuisine;LOliveraie;Taille DUn Olivier Celé Se Fait Chaque Année Mais De Faéon Rudimentaire En Enlevant Seulement Les Gourmands Tous Les 3 A;;;Couiache;;;;;;;
Cuisine;LOliveraie;Chanson Paysanne Lors Ramassage Des Olives;;;Se Tana;;;;;;;Tana
Cuisine;LOliveraie;Chanson Paysanne QuOn Chante En Ramassant Les Olives;;;Ooulivié Soouvagi;;;;;Soouvagi;;
Cuisine;LOliveraie;Charenéon De LOlivier X;;;Estacaredo;;;;;;;
Cuisine;LOliveraie;Couteau Scie é Une Main Pour La Taille Des Oliviers Couteou SerreAv;;;Brout Déulivié;;;;;;;
Cuisine;LOliveraie;Crochet De Bois Pour Suspendre Les Paniers é LArbre Pendant La Cueillette;;;Gorbeletto;;;;;;;
Cuisine;LOliveraie;Cueilleuses DOlives;;;Oouliveto;;;;;;;
Cuisine;LOliveraie;Cueillir Les Olives;;;Bourrir;;;;;;;
Cuisine;LOliveraie;Cueillir Les Olives é La Main;;;Oouliveiredo;;;;;;;
Cuisine;LOliveraie;Danse En Usage Chez Les Provenéaux;;;Ooulivaires Ou Ooulivarellos éulivaire;;;;;;;éulivaire
Cuisine;LOliveraie;Draps En Jute Placé Sous Les Oliviers Et Sur Lequel LOn Fait Tomber Les Olives;;;éuliva;;;;;;;éuliva
Cuisine;LOliveraie;échelle é Trois Pieds Utilisée Pour La Cueillette Des OlivesA;;;Lansoulado;;;;;;;
Cuisine;LOliveraie;Emondeur DOliviers Av;;;Sacoureto;;;;;;;
Cuisine;LOliveraie;ExCroissances De LOlivier;;;Ooulivados Ooulivado Ou Oourivado Ooulivagi;;;Ooulivados Ooulivagi;;;;
Cuisine;LOliveraie;Fagot De Menues Branches Av;;;Oouliveto Oouliveiretto Ooulivetto Vargié;;;Oouliveto;;Oouliveiretto Ooulivetto Vargié;;
Cuisine;LOliveraie;Feuilles Séches Que LOn Entasse Que LOn Couvre De Terre Et Que LOn Fait Bréler Le Résidu Sert Pour La Fumure Des Olivier;;;Baban Chiroun Courcoussoun;;;;;;;Baban Chiroun Courcoussoun
Cuisine;LOliveraie;Fleurir En Parlant Des Oliviers;;;Aucelun;;;;;;;Aucelun
Cuisine;LOliveraie;Floraison De LOlivier;;;Aiglo;;;;;;Aiglo;
Cuisine;LOliveraie;Gale De LOlivier;;;Toumelasso;;;;;;;Toumelasso
Cuisine;LOliveraie;Maniére De Confire Les Olives Vertes;;;Glouriouso Lanceto Mounino Rato Penado;;;;;;;Glouriouso Lanceto Mounino Penado
Cuisine;LOliveraie;Mauvais Couteau X;;;Eigloun;;;;;;;Eigloun
Cuisine;LOliveraie;Olivaison Récolte Des Olives;;;Eigreto Plumachou Ou Roumadaou Bardet Capelut Capulo Guiraud;;;;;Roumadaou;Eigreto;Aigrette Capelut Capulo Guiraud
Cuisine;LOliveraie;Olive;;;Arnié;;;;;Arnié;;
Cuisine;LOliveraie;Olive Tombée De LArbre X;;;Courrenchino Ou Pipi Alauseto Alauveto Alauso Chanet Créu Courrenchino Alouette Pitpit Chichiri Cici;;;;;;;Alauveto Alauso Pitpit Zizi Alauseto
Cuisine;LOliveraie;Olives Confites é LHuile Et Au Sel Av;;;Grasset Aussi Bruyant Des Prés Grasse;;;Prés;;;Grasse;
Cuisine;LOliveraie;Olivier;;;Couquillado Cauquillado Ou Cauquilhado Coouquiado Couquiado Calandro Capeludo;;;Cauquilhado;;Coouquiado Couquiado Capeludo;;
Cuisine;LOliveraie;Olivier Qui Porte La Couiasso X;;;Calandrio Couloussado Moouvieto Calandro Alauseto;;;Calandro;;;;Alauseto
Cuisine;LOliveraie;Olivier Qui Se Couvre De Fleurs X;;;Troupelino;;;;;;;Troupelino
Cuisine;LOliveraie;Olivier Sauvage Troén;;;Crieou;;;Crieou;;;;
Cuisine;LOliveraie;Pépiniére De Plans DOliviers X;;;Chourro Créu;;;;;;;Chourro Créu
Cuisine;LOliveraie;Petit Rameau DOlivier X;;;Pesqueirolo;;;;;;;Pesqueirolo
Cuisine;LOliveraie;Petite Corbeille En Osier Pendue Au Cou Pour Ramasser Olives;;;Laouveto Sauto Roucas Triéu;;;;;;;Triéu
Cuisine;LOliveraie;Petite Olive Av;;;Bedouvido;;;;;Bedouvido;;
Cuisine;LOliveraie;Poussée Des Bourgeons Vigne Ou Olivier;;;Calandrin;;;;;;;Calandrin
Cuisine;LOliveraie;Propriété Avec Des Oliviers Eg;;;Amagoun Bedouédo Coutouliéu Ou Coutoulino;;;;;;;Amagoun Bedouédo Coutoulino
Cuisine;LOliveraie;Ramasseurs DOlives Eg;;;Couteloun Bedouédo;;;;;Couteloun;;Bedouédo
Cuisine;LOliveraie;Récolte Des Olives;;;Piéulano Pivoto;;;;;;;Piéulano Pivoto
Cuisine;LOliveraie;Remplir Un Plein Drap De Lit A;;;Destrussi Ou Destruci Autrucho Estruci Destrussi Aoutrucho Estréci;;;Destruci;;Aoutrucho;Autrucho Estruci;Estréci
Cuisine;LOliveraie;Sac En Toile Que LOn Ajuste é Sa Taille Et Qui Reéoit Les Olives;;;Leseno;;;;;;;Leseno
Cuisine;LOliveraie;Saison De Récolte Des Olives A;;;Grapoun;;;;;;;
Cuisine;LOliveraie;Verger Planté DOliviers;;;Bulo VetoVeto;;;;;;;Bulo
Cuisine;LOliveraie;Vrillette De LOlivier;;;Becarudo Charloutino;;;;;;;Becarudo Charloutino
Animaux;Les Oiseaux;Les Oiseaux;;;Givooudano Bartavello Givaudano;;;;;Givooudano;;Bartavello Givaudano
Animaux;Les Oiseaux;Aigle;;;Alleto;;;;;Alleto;;
Animaux;Les Oiseaux;Aigle Criard;;;BecoFigo Ou Couloumbaudo Pivo Béco Figo;;;Couloumbaudo;;;;Figo
Animaux;Les Oiseaux;Aigle De Mer Ou Aigle Marin Balbuzard Pécheur Pandion Haliaetus AiglePécheur;;;Becasso;;;Becasso;;;;
Animaux;Les Oiseaux;Aiglon;;;Cardelino;;;;;;;Cardelino
Animaux;Les Oiseaux;Aigrette;;;Cabidoulo;;;;;;;Cabidoulo
Animaux;Les Oiseaux;Alcyon;;;Gafaru;;;;;;;Gafaru
Animaux;Les Oiseaux;Alouette;;;Becassino;;;Becassino;;;;
Animaux;Les Oiseaux;Alouette Des Prés Ou Farlouse;;;Sourdaco Sourdet;;;;;;;Sourdet
Animaux;Les Oiseaux;Alouette HupéeOu Cochevis;;;Bouriolo Gavachoun Sourdo;;;;;;;Sourdo
Animaux;Les Oiseaux;Alouette;;;Couancho;;;;;;;
Animaux;Les Oiseaux;Alouette Sorte De Grosse;;;Bergereta Chinchourlino Bargeiretto Bergeiretto Ou Guigno Quoue Hoche Queue Bargeireto GuignoCoue Ou;;;Quoue;;GuignoCoué;Queue Bargeireto GuignoCoue BateQueue;AussoCo Baceleto Bergeireto Bescé Chinchourlino Lévo Marseillais Pastre GuignoCo Gisclet Pastourelet
Animaux;Les Oiseaux;Alouette Petite Ou Locustelle Maritima Des Marais;;;Auco Negro;;;;;;;Negro
Animaux;Les Oiseaux;Alouette é Doigts Courts Locustelle Pitpit;;;Gantoun Moua;;;;;;;Gantoun Moua
Animaux;Les Oiseaux;Alouette De Mer;;;Bluret;;;;;;;
Animaux;Les Oiseaux;Alouette Des Bois Ou Cujellier;;;Boundreo Boundréo;;;Boundreo;;;Boundréo;
Animaux;Les Oiseaux;Alouette Des ChampsOu Mauviette Alouette Grasse A;;;Lucre PessoOoulivo Pivoni PessoPigno Belet Pico Bourre Ou Brout Quinsoun De La Tésto Negro Uei De Bi;;;;;Lucre Pivoni PessoPigno;;Belet Brout Biéu
Animaux;Les Oiseaux;Alouette Jeune;;;Sarragie;;;;;;;
Animaux;Les Oiseaux;Alouette LuluOu Des Prés;;;Cigoun;;;;;;;Cigoun
Animaux;Les Oiseaux;Alouette Mauviette;;;Restoublin Rousseto;;;;;;;Restoublin Rousseto
Animaux;Les Oiseaux;Anthus De Reichard;;;Verdoun;;;;;;;Verdoun
Animaux;Les Oiseaux;Autruche;;;Zizi Pichot Chi Roussiero Sirro;;;;;;;Chi Roussiero Sirro
Animaux;Les Oiseaux;Avocette élégante;;;Pichot De Palun Chinés;;;;;;;Palun Chinés
Animaux;Les Oiseaux;Bardanne;;;Pratiero;;;;;;;Pratiero
Animaux;Les Oiseaux;Barge;;;Chinchourlo Roussanello Verdagno;;;;;;;Chinchourlo Roussanello Verdagno
Animaux;Les Oiseaux;Barge é Queue Noire;;;PieloBlad;;;;;;;PieloBlad
Animaux;Les Oiseaux;Bartavelle Alectoris Graeca PerdrixRoyalePerdrixDe RochePerdrix Grecque;;;Grasset;;;;;;;
Animaux;Les Oiseaux;Battre Des Ailes;;;Pichot Perdris;;;;;;;Perdris
Animaux;Les Oiseaux;BecFigueOu Grasset;;;Coucho Perdris Perdigaire Fauperdriéu;;;;;;;Perdris Perdigaire Fauperdriéu
Animaux;Les Oiseaux;Becasse;;;Faux Perdriou;;;Perdriou;;;;
Animaux;Les Oiseaux;Becasse De Mer Oiseau Plus Gros QuUn Canard;;;Tartau;;;;;;;Tartau
Animaux;Les Oiseaux;Bécasseau Maubéche Ou Maubéche Grise;;;Labourie Ruisso Labouirie Brutier Buso Réssi Buse Bondrée Brutié Tartarasso;;;Brutier;;;;Buso Bondrée Brutié Tartarasso
Animaux;Les Oiseaux;Bécasseau Combattant Charlot;;;Russias;;;;;;;Russias
Animaux;Les Oiseaux;Becassine;;;Russet;;;;;;;Russet
Animaux;Les Oiseaux;Bécassine Double;;;Brutie Ou Brutier Butor Brutié Brutié Buse Gouitre;;;Brutier;;;Butor;Brutié Gouitre
Animaux;Les Oiseaux;Bécassine Petite;;;Cacatoues Ou Parrouquet Voulant;;;;;;;Voulant
Animaux;Les Oiseaux;Bergeronnette Jaune;;;Cailho Caillo;;;Cailho;;;Caillo;
Animaux;Les Oiseaux;Bergeronnette Hochequeue Ou Lavandiére;;;Caillo Ou Cailho Barbajolo Ou Barbajono Jeune Caille Caieto;;;;;;;Caille Caieto
Animaux;Les Oiseaux;Bernache Cravant;;;Caliandro Calandre;;;;;;;
Animaux;Les Oiseaux;Biboreau Gris Ou Bihoreau;;;Couale Ver Canard Céu Verd;;;Canard;;;;Verd
Animaux;Les Oiseaux;Bluret Oiseau Aquatique;;;Bouis Carnardello Guit;;;;;;;Carnardello Guit
Animaux;Les Oiseaux;Bondrée Bondrée Apivore Rapace Taille Moyenne;;;Saucret;;;;;;;Saucret
Animaux;Les Oiseaux;Bouvreuil;;;Cuilheiras;;;Cuilheiras;;;;
Animaux;Les Oiseaux;Bruant Des Neiges;;;Barbe;;;;;;Barbe;
Animaux;Les Oiseaux;Bruant Petit;;;Auquetto;;;Auquetto;;;;
Animaux;Les Oiseaux;Bruant Espéce;;;Brunasso Gatouniardo Negrasso RéiDeFéuco;;;;;;;Brunasso Gatouniardo Negrasso RéiDeFéuco
Animaux;Les Oiseaux;Bruant Commun;;;MiéuMiéu Quatre Uei;;;;;;;MiéuMiéu Uei
Animaux;Les Oiseaux;Bruant Des Haies;;;Canarous;;;;;;;Canarous
Animaux;Les Oiseaux;Bruant Des Roseaux;;;Couguiéu Couquiéu Pegounié Uei DeVéire;;;;;;;DeVéire
Animaux;Les Oiseaux;Bruant Fou;;;Erbo Mut;;;;;;;Mut
Animaux;Les Oiseaux;Bruant Jaune Ou Ortolan;;;Alo Longo Co DIroundo Co Longo;;;;;;;Longo DIroundo Longo
Animaux;Les Oiseaux;Bruant Ortolan;;;Sarcélo Sarcello Cacharéu Cacho Pignoun Caneto Renello Sarceloun;;;Sarcélo;;;Sarcello;Caneto Sarceloun
Animaux;Les Oiseaux;Bruant Ou Bréant Verdier Vert Brun Avec Marques Jaunes Grosseur Du Moineau;;;Sargoun Sauret Verdau;;;;;;;Sargoun De Verdau
Animaux;Les Oiseaux;Bruant Proyer;;;Negroun;;;;;;;Negroun
Animaux;Les Oiseaux;Busard;;;Piéulaire Tésto Rousso;;;;;;;Piéulaire Rousso
Animaux;Les Oiseaux;Busard Des Marais Ou Faux Perdrieux;;;Cuié;;;;;;;Cuié
Animaux;Les Oiseaux;Busard Saint Martin;;;Canardiero;;;;;;;
Animaux;Les Oiseaux;Buse;;;Canari Canéri Canarino Sa Femelle;;;;;;;Canéri Femelle
Animaux;Les Oiseaux;Buse Grosse Oiseau De Proie En Général;;;Anedo Canardo;;;;;;;Anedo Canardo
Animaux;Les Oiseaux;Buse Petite;;;Canot;;;;;;;Canot
Animaux;Les Oiseaux;Butor Ou Héron Paresseux;;;Pas De Traduction;;;;;;;
Animaux;Les Oiseaux;Cacatoés;;;Casouar;;;;;;;Casouar
Animaux;Les Oiseaux;Caille;;;Pas De Traduction;;;;;;;
Animaux;Les Oiseaux;CaillePetite;;;Margouillo Margouilho Margouiho Cabussau Margouio Pioumbin Pitret Cabussau;;;Margouilho;;Margouiho;;Cabussau Margouio Pioumbin Cabussau
Animaux;Les Oiseaux;Calandre Alouette é Doigts Courts;;;Castagnous;;;Castagnous;;;;
Animaux;Les Oiseaux;Canard Col Vert;;;Leé Cardarino Cardelino Cardelin Cardalino Cardouneto;;;;;Cardalino;Cardelino;Cardouneto
Animaux;Les Oiseaux;Canard Nom De Plusieurs Canards Sauvages X;;;Griset;;;;;;;
Animaux;Les Oiseaux;Canard Espéce De;;;Beou LHoli Beoulholi Beou LHoli Ou Beou Lori Aglai Béuloli Aucéu Cabrié Cabraret Chavant Chot Hibou;;;;;Lori;Beoulholi;Béuloli Cabrié Chavant Ordinaire Rispo
Animaux;Les Oiseaux;Canard é Large Bec;;;RatoPenado RatoPanado Pisso Rato Rato Peno;;;;;RatoPanado;;Rato Peno
Animaux;Les Oiseaux;Canard Barbet;;;Cambet Galejoun Galejhoun Oiseau Aquatique Galejoun Péd Rouge;;;Galejoun;;Galejhoun;Galejoun;Rouge
Animaux;Les Oiseaux;Canard Domestique;;;Cabidourle Cambeto;;;;;;;Cabidourle Cambeto
Animaux;Les Oiseaux;Canard Double Macreuse;;;SiéuSiéu;;;;;;;SiéuSiéu
Animaux;Les Oiseaux;Canard Garroté Åil DOr;;;Machotto Ou Machoto Machouetto Machoto Chot Duganello;;Machoto;;;;;Machoto Chot Duganello
Animaux;Les Oiseaux;Canard Milouin Fuligule Milouin;;;Machoto Clapiero Ou Clapouiro;;;;;;;Clapouiro
Animaux;Les Oiseaux;Canard Morillon;;;Cadosco Civéco Plourairo Nichoulo;;;;;;;Cadosco Civéco Plourairo Nichoulo
Animaux;Les Oiseaux;Canard Musqué;;;Esparvié De Mar;;;;;;;Mar
Animaux;Les Oiseaux;Canard Pilet;;;Cigougno Cigogno;;;;;;;Cigogno
Animaux;Les Oiseaux;Canard Sarcelle Aquatique Plus Petit Que Le Canard Met Délicat Petite Sarcelle X Grande Sarcelle X Sarcelle DHiver Ou A;;;Merle Eiguié Mourgoun;;;;;;;Eiguié
Animaux;Les Oiseaux;Canard Sauvage;;;Coucuiado Calandro Ou Cauquilhado Cauquiado;;;Cauquilhado;;;Cauquiado;
Animaux;Les Oiseaux;Canard Sauvage é Plumage Noir Morillon;;;Béco Flour Coulibri Gauchet;;;;;;;Flour Coulibri Gauchet
Animaux;Les Oiseaux;Canard Siffleur;;;Couloumbo;;;;;;Couloumbo;
Animaux;Les Oiseaux;Canard Souchet;;;Plauco;;;;;;;Plauco
Animaux;Les Oiseaux;Canards En Général X;;;Coundor;;;;;;;Coundor
Animaux;Les Oiseaux;Canari;;;Gaou Ou Gau Gaou Jhaou Jhalus Gaou Poul Gau;;;Gau;;Jhalus Gaou;;Poul Gau
Animaux;Les Oiseaux;Cane Aussi Poule DEau Sarcelle Mouette Narcisse Des Prés;;;Gabre Méle De La Poule DInde Dindas Galabre Dindard;;;Gabre;;Galabre;DInde Dindas;Dindard
Animaux;Les Oiseaux;Caneton;;;Croupatas Gourbin Vieux Mot Courpatas Corb ManjoCarougnado;;;Croupatas Gourbin;;;;Corb ManjoCarougnado
Animaux;Les Oiseaux;Cardinal Gros Comme Un Petit Perroquet é Bec Et Corps Rouges P;;;Guiraudet;;;;;;;Guiraudet
Animaux;Les Oiseaux;Casoar;;;Frié Grailho Freus;;;Freus;;Frié;;
Animaux;Les Oiseaux;Casse Noix Espéce De Geai P;;;Freus Fries Ou Graiho;;;;;Graiho;;
Animaux;Les Oiseaux;Castagneux;;;Gau Pesquié;;;;;;;Pesquié
Animaux;Les Oiseaux;Castagneux Grébe Mergus Minimus Fluviatilis;;;Corbillat;;;;;;;
Animaux;Les Oiseaux;Chardonneret Toute Petite Bariolée;;;Cormarin Aussi Cormaran Corb Marin Escérpi;;;;;;;Marin Escérpi
Animaux;Les Oiseaux;Chardonneret Jeune Qui NA Pas Encore Ses Couleurs Rouge Et Jaune Vif Eg;;;Chouras;;;;;;;
Animaux;Les Oiseaux;ChatHuant Ou Chouette Hulotte Sont Réputés Pour Boire LHuile Des Lampes Des églises Eg A â Oiseau De Mauvais Augure Avâ;;;Graillo Grailho Graillo Negro Graillo Ou Craillo Chayo Ou Graiho Caucalo Graio;;;Grailho;;Graiho;Negro Craillo;Caucalo Graio
Animaux;Les Oiseaux;Chauve Souris;;;Graillo Negro E Griso Choucas Graiard Graouin;;;;;;Griso;Choucas Graiard
Animaux;Les Oiseaux;Chevalier â Sorte De Pluvier Eg;;;Couguou;;;Couguou;;;;
Animaux;Les Oiseaux;Chevalier é Pattes Jaunes Ou Petit Chevalier;;;Courliou Courlieou Ou Courreliou De Riviére Courlieou Courreli Courreliéu;;;Courreliou;;;Riviére;Pluvier
Animaux;Les Oiseaux;Chevalier Sylvain;;;Esquirouli;;;;;;;Esquirouli
Animaux;Les Oiseaux;Chouette Hulotte;;;Lisairo;;;;;;;Lisairo
Animaux;Les Oiseaux;Chouette Petite;;;Granouillie;;;;;;;
Animaux;Les Oiseaux;Chouette Chevéche;;;Ratie Ratier Ratié;;;Ratier;;Ratié;;
Animaux;Les Oiseaux;Chouette Chevéche Méridoniale;;;Cuhie;;;;;;Cuhie;
Animaux;Les Oiseaux;Cigogne;;;Cigne Ciéune;;;Cigne;;;;Ciéune
Animaux;Les Oiseaux;Cincle Plongeur Ou Rousserole;;;Dindas Dindo;;;Dindo;;;;
Animaux;Les Oiseaux;Cochevis Sorte De Petite Alouette Eg;;;Dindoun;;;;;;;
Animaux;Les Oiseaux;Colibri;;;Dindounéu;;;;;;;Dindounéu
Animaux;Les Oiseaux;Colombe;;;Duganéou Duganéu Choutas Banu Pichot Du ChotBanu;;;;;A;;Duganéu Banu Du ChotBanu
Animaux;Les Oiseaux;Colymbe é Créte Huppe Fasciée;;;Dugou Ducou Buou LHoli Ou Buou Lori Barbajan Grand Du Ducas Petavet;;;Dugou Ducou;;Lori;;Barbajan Du Ducas Petavet
Animaux;Les Oiseaux;Condor;;;Machoto Banarudo;;;;;;;Banarudo
Animaux;Les Oiseaux;Coq;;;Cambaru;;;;;;;Cambaru
Animaux;Les Oiseaux;Coq DInde;;;Esglari Freus Orfrayo Béuléli Damo De Nue Gardo Ou Gérdi Vilo;;;Freus Orfrayo;;;;Béuléli Nue Vilo
Animaux;Les Oiseaux;Corbeau;;;Emerillon Oumego;;;;;Oumego;;
Animaux;Les Oiseaux;Corbeau De NuitOu Bihoreau;;;Saba Foussilloun Chaucho Bot Chaucho Gérri Chaucho Grapaud EngouloVént Faucihoun Cabrillaou Litourna;;;;;;;Grapaud EngouloVént Faucihoun Litournau Nichoulo Nuecho
Animaux;Les Oiseaux;Corbeau Freux;;;Espalavié Escruvele Mouisset Esprevier Ou Espervier Aussi Ratier Esparavié EspriViou Mouisset Esparv;;;Espervier Ratier;;Esparavié EspriViou Mouisset;;Esparvié Nible
Animaux;Les Oiseaux;Corbeau Freux Fieus Ou Grolle Sorte De Corneille Mange Les Graines P;;;Estournéou Sansounet Estourneou Estournéu Sansounet;;;Sansounet;;;Estourneou;Estournéu Sansounet
Animaux;Les Oiseaux;Corbeau Pécheur;;;Feisan Ou Fesan Feisan;;;Fesan;;;;Feisan
Animaux;Les Oiseaux;Corbeau Petit;;;Faucoun Foucoun Fooucoun Faucoun Fauquet;;;Faucoun Fooucoun;;Foucoun;;Fauquet
Animaux;Les Oiseaux;Cormoran Corbeau Pécheur Corbeau Marin PA;;;Mouisset Rous Segueiréu;;;;;;;Rous Segueiréu
Animaux;Les Oiseaux;Corneille Apprivoisée Aux Pattes Rouges;;;Aubanéu Mouisset Moustachu;;;;;;;Aubanéu Moustachu
Animaux;Les Oiseaux;Corneille;;;Laneret Lanere Laneiret;;;Laneret;;;Lanere;Laneiret
Animaux;Les Oiseaux;Corneille Mantelée Ou Choucas;;;Lanier Lanié;;;Lanier;;;;Lanié
Animaux;Les Oiseaux;Coucou;;;Faucounéu;;;;;;;Faucounéu
Animaux;Les Oiseaux;Courlis Cendré;;;Sacre Sacro;;;Sacre;;;Sacro;
Animaux;Les Oiseaux;Courlis De Terre Ou Ådicnéme Criard;;;HaussePié;;;;;;;
Animaux;Les Oiseaux;Courlis Vert Ou Courlis DItalie Courlis DEurope Courlis De Terre;;;Bouscarlo Ou Favetto Faveto Bouscarido Mouréu Mousqueirolo;;;Bouscarlo Favetto;;;Faveto;Bouscarido Mouréu Mousqueirolo
Animaux;Les Oiseaux;Crabier;;;Bui Rebousca;;;;;;;Rebousca
