ThÃ¨me;CatÃ©gorie;Mot francais;Synonyme francais;Description;Traduction;TradEG;TradD;TradA;TradH;TradAv;TradP;TradX
Travail;Le Vignoble;Sautelle Sarment De Vigne Marcotté Avec 1 Seul Sarment;;;Acanse;;;;;;;
Travail;Le Vignoble;Sécateur;;;Meian Solco Ouliero Oouliéro Soouco Plantissado;;;Plantissado;;Oouliéro Soouco;;
Travail;Le Vignoble;Serpe Des Vignerons Utilisée Pour Tailler La Vigne;;;Chauchaire;;;;;;;Chauchaire
Travail;Le Vignoble;Serpette P â Grosso Poudadouiro Serpe P Poudetto Serpette Pour Les Arbres Av X;;;Plantun;;;;;Plantun;;
Travail;Le Vignoble;Serpette Pour Les Arbres Pour Greffer;;;Larroun;;;;;;;Larroun
Travail;Le Vignoble;Tailler La Vigne Tailler Les Branches Longues De Raisins;;;Tresbourron;;;;;;;Tresbourron
Travail;Le Vignoble;Tailler La Vigne é Taille Folle X Saison De La Taille Tailler La Vigne é Deux Bourgeons;;;Faoudiou Poudaire;;;;;Poudaire;;
Travail;Le Vignoble;Tailler La Vigne Plus Haut Que DOrdinaire;;;Espoudassa;;;;;Espoudassa;;
Travail;Le Vignoble;Terme De Vigneron Espace De Terre De 2 Pieds De Large QuOn Laisse Cultivé Sans étre Semé Entre La Vigne Et Le Blé A;;;Pouda;;Pouda;;;;;
Travail;Le Vignoble;Terrasse De Vigne;;;Tarnit;;;Tarnit;;;;
Travail;Le Vignoble;Tine Ou Baquet;;;Enfroundado Frundado;;;;;;Frundado;
Travail;Le Vignoble;Tinette;;;Reseguir Ou Ressegre;;;Ressegre;;;;
Travail;Le Vignoble;Travail Déchausser Les Vignes Oter La Terre Du Pied;;;Vigno En Drudiero;;;;;;;Drudiero
Travail;Le Vignoble;Travail Déchausseuse Permettant De Nettoyer Les Pieds De Vigne;;;Plantié;;;;;;;Plantié
Travail;Le Vignoble;Travail ébourgeonner Mois De Juin Biner ébourgeonner La Vigne X;;;Plantado Plantat;;;Plantado;;;;Plantat
Travail;Le Vignoble;Celui Qui ébourgeonne X;;;Mourado;;;;;;;Mourado
Travail;Le Vignoble;Travail écartement Entre Deux Rangs De Vignes;;;Vigno QuA Afloura Ou Efloura;;;;;;Afloura Efloura;
Travail;Le Vignoble;Travail Echalasser Les Vignes;;;Vigno Afflouro;;;Afflouro;;;;
Travail;Le Vignoble;Travail Effectuer Un Labour Profond Pour La Plantation Des Vignes Notamment;;;Poudaire;;;Poudaire;;;;
Travail;Le Vignoble;Travail Femelle Du Mulet;;;Espoudassaire;;;;;;;Espoudassaire
Travail;Le Vignoble;Travail Fouler La Vendange;;;Ooutin Ooutinado;;;;;Ooutinado;;
Travail;Le Vignoble;Travail La Taille Eg époque Pour Tailler La Vigne A Av;;;Pareissoun;;;;;Pareissoun;;
Travail;Le Vignoble;Travail Labourer;;;Muscadet;;;;;;;Muscadet
Travail;Le Vignoble;Travail Labourer Avec La Charrue;;;VendumiVendémi Vendumi Vendemio Vendémi Vendémio Vendémi;;;VendumiVendémi Vendemio;;;Vendumi;Vendémio Vendémi
Travail;Le Vignoble;Travail Le Greffage;;;Fiscéu Feisséu;;;;;;;Feisséu
Travail;Le Vignoble;Travail Les Fils De Fer;;;Acuhi;;;;;Acuhi;;
Travail;Le Vignoble;Travail Porteurs Que LOn Laisse Sur Les Ceps Pour La Fructification;;;Grudaire;;;;;;;Grudaire
Travail;Le Vignoble;Travail Rangée De Vignes;;;TaioRaco;;;;;;;TaioRaco
Travail;Le Vignoble;Travail Sautelle Sarment Transplanté Avec Sa Racine;;;Trouiage;;;;;;;Trouiage
Travail;Le Vignoble;Travail Attacher Les Ceps Ou Sarments;;;Cargadou;;;;;Cargadou;;
Travail;Le Vignoble;Travail Bécher é Demi La Vigne Lorsque CEst Mal Fait;;;Brindaire;;;;;;;
Travail;Le Vignoble;Travail Charretée De Vendange X;;;Destregne Ou Estregne;;;;;;;Estregne
Travail;Le Vignoble;Travail Couper Les Sarments Avec La Serpe;;;Voouto Vauto;;;Voouto;;;Vauto;
Travail;Le Vignoble;Travail Détacher Un Cep Un Sarment Que LOn A Provigné;;;Plant De Canaan Péd Tourtu;;;;;;;Canaan Tourtu
Travail;Le Vignoble;Travail Double Rangée De Vignes Qui Sépare Les Oulieros Fielagno;;;Muscadeliero;;;;;;;Muscadeliero
Travail;Le Vignoble;Travail ébourgeonner Les Ceps De Vigne P;;;Autin Autinado Tonnelle;;;;;;;Autin Tonnelle
Travail;Le Vignoble;Travail Epampre Enlever La Feuille De La Vigne;;;Rasimiero;;;;;;;Rasimiero
Travail;Le Vignoble;Travail Espace Réservée En Bout De Rang Pour Permettre De Tourner Avec Les Chevaux Ou Engins;;;Escala Fiela;;;;;;;Escala Fiela
Travail;Le Vignoble;Travail Filagnes De Vignes Terrain Semable Entre Deux Allées Eg Inversement Terrain Planté Au Maximum De Vignes;;;Vignarés Vinié;;;;;;;Vignarés Vinié
Travail;Le Vignoble;Travail Fouleur Des Vendanges X;;;Filheiroun Fureiroun Fiélocho Siheiroou Fielandroun Fieleiroun Vediho Fourqueto Gaiard Gripo Roussig;;;Filheiroun Fureiroun;;Fiélocho Siheiroou;;Fielandroun Vediho Fourqueto Gaiard Roussignéu
Travail;Le Vignoble;Travail Jeune Plant Vigne Nouvellement Plantée;;;Destrignagi;;;;;;;
Travail;Le Vignoble;Travail Marcotte De Vigne Ou Mesure Pour Le Vin;;;Pielo;;;Pielo;;;;
Travail;Le Vignoble;Travail Plus Bas Åil DUn Sarment De Vigne;;;Vin Fa Eme DOrdi;;;;;;DOrdi;
Travail;Le Vignoble;Travail Tablier Pour Tailler La Vigne;;;Crote;;;;;;;
Travail;Le Vignoble;Travail Taille De La Vigne Béclée Fait Contre Les Régles;;;Vin Fa Eme De Poumo;;;;;;Poumo;
Travail;Le Vignoble;Travail Tailler La Vigne;;;Foulierado;;;;;;;Foulierado
Travail;Le Vignoble;Travail Terme Des Vignerons Pour Désigner Une Grappe Ou Tous Les Grains Se Touchent;;;Cornudo Cournudo Et Guindello;;;Et;;;;Guindello
Travail;Le Vignoble;Travail Tranchée Pour Planter La Vigne;;;Recebedouiro;;;Recebedouiro;;;;
Travail;Le Vignoble;Travail Vendangeurs Qui Repassent Dans Les Vignes Pour Récolter Les Raisins Oubliés A;;;Tino;;;;;;;
Travail;Le Vignoble;Travail Vigne En Pleine Force;;;Tinado;;;Tinado;;;;
Travail;Le Vignoble;Travail Vigne Nouvelle;;;Damajhano Quintino DamoJano Meirino Menino;;;DamoJano;;Damajhano;;Meirino Menino
Travail;Le Vignoble;Travail Vigne Plantée Depuis Un An;;;Faére Bouilli;;;;;;;
Travail;Le Vignoble;Travail Vigne Provignée;;;Desboutiha;;;;;;;Desboutiha
Travail;Le Vignoble;Travail Vigne Qui A Coulé;;;Gandouloun;;;;;;;Gandouloun
Travail;Le Vignoble;Travail Vigne Qui Coule;;;Gnole Aiguardén AiguArden;;;;;AiguArden;;
Travail;Le Vignoble;Travail Vigneron Qui Taille La Vigne;;;Espiro;;;Espiro;;;;
Travail;Le Vignoble;Travail Vigneron Qui Taille Mal La Vigne;;;Gaveou De Tino;;;;;Tino;;
Travail;Le Vignoble;Treille Tonnelle Garnie De Vignes;;;Aganta La Lebré;;;;;;;
Travail;Le Vignoble;Tuteur;;;Huilhar;;;Huilhar;;;;
Travail;Le Vignoble;Variété De Cépage;;;Cano;;;;;;;Cano
Travail;Le Vignoble;Vendange;;;Caoucaire;;;;;;;
Travail;Le Vignoble;Vendange Cuvée De Vendange;;;Eisino Ou Eysino;;;Eysino;;;;
Travail;Le Vignoble;Vendange Mettre La Vendange DAutrui Dans Sa Cuve;;;Tasta Lou Vin;;;;;;;
Travail;Le Vignoble;Vendange Chargeur De Vendange;;;Banastoun;;;;;;;
Travail;Le Vignoble;Vendange Couperet De Pressureur De Vendange;;;Usino Ou Eisino;;;Eisino;;;;
Travail;Le Vignoble;Vendange Foulage De La Vendange;;;Vin Fa Eme DAiguo Et De Meou Tisano De Meou Idrouméu Melico;;;;;;Meou;Idrouméu Melico
Travail;Le Vignoble;Vendange Lieu Ou On Entrepose Le Raisin Vendangé Dans Les Vignes En Attente De Son Transport;;;Tartar;;;Tartar;;;;
Travail;Le Vignoble;Vendange Porteur De Hotte;;;Tineirau;;;;;;;Tineirau
Travail;Le Vignoble;Vendange Presser La Vendange;;;Holi Doou Gaveou;;;Gaveou;;;;
Travail;Le Vignoble;Vendange Voyage Entre La Vigne Et La Cuve Et Retour;;;Mastreto;;;;;;;
Travail;Le Vignoble;Vigne La;;;Raque;;;;;;;
Travail;Le Vignoble;Vigne De Raisin Muscat;;;Destreignado;;;Destreignado;;;;
Travail;Le Vignoble;Vigne Enlacée é Un Arbre Ou Treille;;;Couliandro;;;;;;;Couliandro
Travail;Le Vignoble;Vigne Haute;;;Barau;;;;;;;
Travail;Le Vignoble;Vigne Qui Coule;;;Emboutar Ou Emboutihar;;;;;;;
Travail;Le Vignoble;Vignoble;;;Faére Lou Plin;;;;;;;
Travail;Le Vignoble;VrilleDe La Vigne Appelé Main De La Vigne;;;Entinar;;;;;;;
Travail;Le Vin;Action De Presser Le Raisin;;;Moust;;;Moust;;;;
Travail;Le Vin;Auge En Pierre é Coté Du Puit Pour Donner é Boire Aux Chevaux;;;Vin Musca;;;;;;Musca;
Travail;Le Vin;Biére;;;Vin Deis Dious Vin Excellent Rossoli Hypoucras;;;Hypoucras;;;Dious;
Travail;Le Vin;Cave é Vin;;;Soumoustar;;;Soumoustar;;;;
Travail;Le Vin;Cidre;;;Pendihado;;;;;;;Pendihado
Travail;Le Vin;Contenu DUne Cuve;;;Cournudon;;;;;;;
Travail;Le Vin;Cornues é Deux Poignées En Bois Pleines De Raisins Elles Sont Alignées Sur Les Charettes On Dit Aussi Ambaisso Dans Le T;;;Tiersolin;;;;;;;
Travail;Le Vin;Cuve Ou Baquet Qui Sert é Recevoir Le Vin Au Sortir De La Cuve;;;Trissoun;;;;;;;
Travail;Le Vin;Cuve Pour Le Raisin Lors Des Vendanges;;;Trempo Petit Vin Mié Vin RéireVin Respié Trasco;;;;;Trempo;;Vin Trasco
Travail;Le Vin;Cuvée De Raisins;;;Vin Fa Eme De Peros;;;;;;Peros;
Travail;Le Vin;Dame Jeanne;;;Ray;;;;;;;
Travail;Le Vin;Dans Une Cuve Ou Tonneau LOn Fait Fermenter Le Raisin On Le Transforme Ainsi En Alcool;;;Destré Destrech Pressoir;;;Destrech;;;;Pressoir
Travail;Le Vin;Déboucher Du Vin En Bouteille;;;Truilh Ou Trueilh Truey Fouloir Aussi Destrech;;;Trueilh;;Truey Destrech;;
Travail;Le Vin;Demi Verre De Vin;;;Cacho Grapaud;;;;;;;Grapaud
Travail;Le Vin;Eau De Vie Aprés Distillation Tirée Du Vin Av;;;Carre;;;;;;;Carre
Travail;Le Vin;Fausset Cheville Pointue En Bois Bouche Le Trou DUn Tonneau;;;Destregnaire Destrignaire;;;Destrignaire;;;;
Travail;Le Vin;Filtre Le Vin é La Sortie De La Cuve Par Un Fagot DAsperges Sauvages;;;Veisselado;;;;;Veisselado;;
Travail;Le Vin;Finir La Piéce Attraper Le Liévre;;;Riable;;;;;Riable;;
Travail;Le Vin;Finir Remplir Tonneau Qui NEst Pas Tout é Fait Plein;;;Gardo Vin;;;;;;;Vin
Travail;Le Vin;Fleur Du Vin;;;Uya;;;;;Uya;;
Travail;Le Vin;Fouleur De Raisin Ou éventeur De Blé;;;Soutirage;;;;;;;
Travail;Le Vin;Futaille Toutes Sortes DUstensiles Contenant Du Vin;;;Grifoun;;;;;;Grifoun;
Travail;Le Vin;Goéter Le Vin;;;Fara;;;;;;;
Travail;Le Vin;Grandes Corbeilles DOsier Pour Le Transport Des Raisins Il Y A Aussi Lei Caisso Les Caisses;;;Barnigau;;;Barnigau;;;;
Travail;Le Vin;Gros Tonneau;;;Graule;;;;;;Graule;
Travail;Le Vin;Hydromel;;;TiroVin;;;TiroVin;;;;
Travail;Le Vin;Lie De Vin Séche Au Fond Des Tonneaux;;;Tirovin;;;Tirovin;;;;
Travail;Le Vin;Lieu Ou LOn Fait Le Vin;;;Bouteyesoun;;;;;Bouteyesoun;;
Travail;Le Vin;Liqueur Issue Des Raisins Aussi Jus De Settembre;;;Pumousta;;;;;;;
Travail;Le Vin;Maie DUn Pressoir Pour Vendanges â Auge DUn Pressoir é Huile;;;Bouto Touneou;;;Touneou;;;Bouto;
Travail;Le Vin;Marc De Raisin Aprés Pressurage;;;Démi Mai;;;;;;;
Travail;Le Vin;Marc Des Raisins Resté Au Fond Du Pressoir;;;Trempiero;;;Trempiero;;;;
Travail;Le Vin;Mauvais Vin;;;Traiho;;;;;Traiho;;
Travail;Le Vin;Mesure Du Vin Qui Fait La Moitié DUne Charge;;;Grapadou;;;;;;;Grapadou
Travail;Le Vin;Mettre Du Vin Dans Des Tonneaux Eg Avec Entonnoir P;;;Founéuro;;;Founéuro;;;;
Travail;Le Vin;Mettre Encore Un Petit Peu De Vin Dans Les Tonneaux Pour éviter Une Prise DAir;;;Canéllo Griffoun Canoun Enco;;;Enco;;;;
Travail;Le Vin;Mettre La Vendange En Cuve;;;Endumiairé Vendemiaire Vendumiaire;;;;;;Vendumiaire;
Travail;Le Vin;Moét De Raisin Jus Des Raisins Vin Doux Non Encore Fermenté Av;;;Vin Que Se Gardo Pas Longtems;;;;;;Longtems;
Travail;Le Vin;Muscat;;;Bourret;;;Bourret;;;;
Travail;Le Vin;Nectar;;;Vin Dau Rei;;;;;;Rei;
Travail;Le Vin;Oter Le Moét Qui Fermente Dans La Cuve A;;;Vin De Gres;;;;;;;Gres
Travail;Le Vin;Soumousta Surmoét Vin Ni Cuvé Ni Pressuré Av;;;Vin Que NEs Pas De Destrech;;;;;;Destrech;
Travail;Le Vin;Paquet De Raisins Suspendu;;;Vin De Rai De Cubo;;;;;;;Cubo
Travail;Le Vin;Petit Seau De Bois é Deux Anses;;;Vin De Destrech;;;;;;Destrech;
Travail;Le Vin;Petit Tonneau DOé LOn Tirait Le Vin Au Fur Et é Mesure Des Besoins;;;Vin De Destrech;;;;;;Destrech;
Travail;Le Vin;Piéce De Bois Utilisée Pour Tasser Les Raisins Dans Les Cornues;;;Vinagi;;;;;Vinagi;;
Travail;Le Vin;Piquette;;;Couchouirau;;;;;;;Couchouirau
Travail;Le Vin;Poiré;;;Chucho;;;;;Chucho;;
Travail;Le Vin;Premier Vin Sorti Du Tonneau Av;;;Vin Soulidamen Tira;;;;;;Tira;
Travail;Le Vin;Presse Rustique Servant é Séparer Le Restant Du Jus Des Raisins Fermentés Nous En Avions Un Par Village Chaque Paysan é;;;Espounch Espoun;;;Espounch;;;Espoun;
Travail;Le Vin;Pressoir é Vin A;;;Fumous;;;;;;;
Travail;Le Vin;Pressoir é Vis;;;Bouihei;;;;;Bouihei;;
Travail;Le Vin;Pressoir Sur Roues;;;Vin De La Queissasso;;;;;;;Queissasso
Travail;Le Vin;Pressureur Ouvrier Qui Fait Fonctionner Le Pressoir é Vin;;;Vin Ver;;;;;;Ver;
Travail;Le Vin;Quantité De Vin Que Contient Un Tonneau;;;Viagé;;;;;;;
Travail;Le Vin;Rabot Utilisé Pour Retirer La Lie Du Vin Restée Dans Les Tonneaux;;;Iroou;;;Iroou;;;;
Travail;Le Vin;Récipient Pour Le Vin;;;Hiroou;;;;;;;
Travail;Le Vin;Remplir Un Tonneau;;;Iero Hiero;;;;;;;
Travail;Le Vin;Retirer Le Jus;;;Escoubo De Brusc Escoubo De Brugi;;;Brusc;;Brugi;;
Travail;Le Vin;Robinet Ou Canelle DUn Tonneau;;;Escoubo Dé Ginesto;;;;;;;
Travail;Le Vin;Seau é Vendanges;;;Segado;;;;;;;
Travail;Le Vin;Sebille Ou Baquet Pour Puiser LEau Dans Les Vases Qui Rempliront Les Barils Pour Transport;;;Segaire;;;;;;;
Travail;Le Vin;Sebille Ou Sébile;;;Fuelle;;;;;;;
Travail;Le Vin;Siphon Tuyau;;;Bigue;;;;;;;
Travail;Le Vin;Syphon Utilisé Pour Faire Passer Le Vin DUn Récipient é Un Autre;;;Poussié;;;;;;;
Travail;Le Vin;Tirer Le Vin De La Cuve Pour Le Mettre En Tonneaux;;;Rouleou;;;;;;;
Travail;Le Vin;Tocane Vin Nouveau Fait De La Mére Goutte;;;Ventarello;;;;;;;Ventarello
Travail;Le Vin;Tonneau;;;Ten Deé Iero;;;;;;;
Travail;Le Vin;Tonneau De 500 Litres Environ Ou LOn Entreposait Le Vin;;;Groussau;;;Groussau;;;;
Travail;Le Vin;Tonneau Ou LOn Fait Le Vin;;;Countiers;;;Countiers;;;;
Travail;Le Vin;Treille;;;Fenejage;;;;;;;Fenejage
Travail;Le Vin;Trident Pour Refouler Le Raisin Au Fond De La Cuve;;;Clavun;;;;;;;Clavun
Travail;Le Vin;Ttes Les Piéces Du Fond DUn Tonneau LEnfonéure;;;Mourre;;;;;Mourre;;
Travail;Le Vin;Tuyau Pour Tirer Le Vin Du Tonneau;;;Dessouca;;;;;;;Dessouca
Travail;Le Vin;Vendangeurs;;;Pausso;;;Pausso;;;;
Travail;Le Vin;Vin;;;Mourcho;;;;;;;Mourcho
Travail;Le Vin;Vin Bourret Vin Douceétre;;;Estoublo;;;;;;;Estoublo
Travail;Le Vin;Vin De Bouche;;;Faviero;;;Faviero;;;;
Travail;Le Vin;Vin De Céteaux;;;Estoubloun Ou Clue;;;;;;;Clue
Travail;Le Vin;Vin De Mere Goute;;;Capourié;;;;;;;
Travail;Le Vin;Vin De Mére Goutte;;;Baragno;;;;;Baragno;;
Travail;Le Vin;Vin De Pressoir;;;Dedaia;;;;;;;Dedaia
Travail;Le Vin;Vin De Pressoir Celui Qui NEst Pas De Pressoir Mére Goutte;;;Espravan Ou Espravantau;;;Espravantau;;;;
Travail;Le Vin;Vin Du Marché;;;Feneta Ou Segua;;;;;Segua;;
Travail;Le Vin;Vin Hatif Fait Avant Les Vendanges;;;Feneirage;;;;;;;Feneirage
Travail;Le Vin;Vin Issu De La Treille;;;Escoussou;;;;;;;Escoussou
Travail;Le Vin;Vin Nouveau Tiré;;;Béusso;;;;;;;Béusso
Travail;Le Vin;Vin Piquant Ou Aigre;;;Crinéu;;;;;;;Crinéu
Travail;Le Vin;Vin Qui Est Fort;;;Trempier Ou Tempier;;;Tempier;;;;
Travail;Le Vin;Vin Qui Fermente Dans La Cuve;;;Gres;;;;;Gres;;
Travail;Le Vin;Vin Réservé;;;Ragas;;;Ragas;;;;
Travail;Le Vin;Vin Vert Ou Revéche;;;Ouliero Vanego Veirimo;;;Ouliero;;;;Vanego Veirimo
Travail;Le Vin;Voyages De Charettes Pleines é La Cave;;;Reclaure Reclaoure Estoublo;;;Reclaure;;Reclaoure Estoublo;;
Travail;Les Travaux De Battage;Airée â Quantité De Gerbes Destinées é étre Battues;;;Marraire;;;;;;;Marraire
Travail;Les Travaux De Battage;Airée étendue De Gerbes Foulées Pailles Et Grains Mélés Qui Sont Encore Sur LAire;;;Fatturar Garacha;;;Fatturar;;;Garacha;
Travail;Les Travaux De Battage;Aires â Lieu En Hauteur Trés Ensoleillé Oé SEffectue La Séparation Du Grain Des épis CEst Un Endroit Plat Avec Des Caill;;;Coutreia Ou Coutrejha;;;;;Coutrejha;;
Travail;Les Travaux De Battage;Balais De Bruyére A;;;Dessesouna;;;;;;;Dessesouna
Travail;Les Travaux De Battage;Balais En Genét Sec Trés Rude;;;Entrefouire;;;Entrefouire;;;;
Travail;Les Travaux De Battage;Fauchée Une Coupe De Foin Segar Lou Pra Couper Les Foins;;;Estévo;;;Estévo;;;;
Travail;Les Travaux De Battage;Faucheur;;;Parano;;;;;;;Parano
Travail;Les Travaux De Battage;Mors Du Cheval;;;Terrilho;;;;;;;
Travail;Les Travaux De Battage;Moundilho Criblure De Grains Destinée Aux Volailles A;;;Empertia;;;;;;;Empertia
Travail;Les Travaux De Battage;Pieu Planté Dans Une Pierre Au Centre De LAire;;;Enreiha;;;;;Enreiha;;
Travail;Les Travaux De Battage;Résidus De La Paille En Poussiére Qui Servira De Litiére Aux Cochons Et Aux Moutons;;;Fenassiero;;;;;;;Fenassiero
Travail;Les Travaux De Battage;Rouleau En Pierre Ayant La Forme DUn Céne Il Est Tiré Par Le Cheval Sur LAire Roulant Sur Les épis Disposés En Cercle;;;Mourrailhoun;;;Mourrailhoun;;;;
Travail;Les Travaux De Battage;Tarare â CEst Une Machine Munie De Pales Qui En Tournant Produisent De LAir Qui Assez Puissant Sépare Le Grain De La Pai;;;Pradarie;;;Pradarie;;;;
Travail;Les Travaux De Battage;Temps Des Aires;;;PaupoEissado Ou Fulobro;;;Fulobro;;;;
Travail;Les Travaux De Battage;Terme Générique De Grains Sauf Pour Le Blé A;;;Groussan;;;;;;Groussan;
Travail;Dans Les Champs;12 Jours Qui Précédent Noél Pour Les Paysans Correspondent Au Temps QuIl Fera Au Cours De LAnnée Suivante Le 13 Décembre;;;Gabin;;;Gabin;;;;
Travail;Dans Les Champs;Action De Faire Les Foins;;;Eissour;;;;;Eissour;;
Travail;Dans Les Champs;Amas De Petites Pierres Ou Sous Sol Pierreux;;;Fouire Marra;;;Fouire;;;;Marra
Travail;Dans Les Champs;Ameublir La Terre Pour Le Premier Labour;;;Regougno;;;;;;;Regougno
Travail;Dans Les Champs;Arracher Les Souches Ou Labourer Une Seconde Fois;;;Mourrailhado;;;Mourrailhado;;;;
Travail;Dans Les Champs;Balle Enveloppe De Grain De Blé Dans Son épi;;;Prat;;;Prat;;;;
Travail;Dans Les Champs;Blé Vert;;;Rastelier;;;Rastelier;;;;
Travail;Dans Les Champs;Champs Moissoné;;;Pousito Péusito;;;;;;;Péusito
Travail;Dans Les Champs;Champs Semé De Féves;;;Rouibre Ou Revioure;;;;;Revioure;;
Travail;Dans Les Champs;Chaume;;;Enfeneirage;;;;;;;Enfeneirage
Travail;Dans Les Champs;Chef Des Moissonneurs;;;Feneira;;;;;;;Feneira
Travail;Dans Les Champs;Cléture Faite Avec Des épineux Pour Barrer LAccés;;;Desmarja;;;;;;;Desmarja
Travail;Dans Les Champs;épandre Le Foin Fauché;;;Mourau;;;Mourau;;;;
Travail;Dans Les Champs;épouvantail;;;Fenereisoun;;;;;;;Fenereisoun
Travail;Dans Les Champs;Faucher;;;Cuvia;;;;;;;Cuvia
Travail;Dans Les Champs;Fenaison;;;Régo;;;;;Régo;;
Travail;Dans Les Champs;Fléau Pour Le Blé;;;Sauque;;;Sauque;;;;
Travail;Dans Les Champs;Grand Panier Pour Les Foins;;;Fenassiéu Feniero;;;;;;;Feniero
Travail;Dans Les Champs;Gros Panier Pour Transporter Du Foin;;;Tempouriou;;;Tempouriou;;;;
Travail;Dans Les Champs;Grosse Pluie Qui Abreuve Bien La Terre Et Les Sources;;;Picun;;;;;;;Picun
Travail;Dans Les Champs;Grou Ou Grouette Terrain Argileux Mélé De Pierres;;;Gruveliero;;;Gruveliero;;;;
Travail;Dans Les Champs;Inondation Des Champs;;;Grescoux;;;;;Grescoux;;
Travail;Dans Les Champs;Jachére;;;Oourailho;;;Oourailho;;;;
Travail;Dans Les Champs;Jachére Ou Second Labour A Bécher Légérement La Terre Pour Enlever Les Mauvaises Herbes;;;Campas;;;;;;Campas;
Travail;Dans Les Champs;Journalier;;;Féuge;;;;;;;Féuge
Travail;Dans Les Champs;Labourer;;;Garach;;;;;Garach;;
Travail;Dans Les Champs;Labourer Avec Le Coutris;;;Bramo Ferre;;;;;;;Ferre
Travail;Dans Les Champs;Labourer Hors Saison;;;Terro Marfoundudo;;;;;;Marfoundudo;
Travail;Dans Les Champs;Léger Labour Fait Avec La Serpette;;;Harmas;;;;;Harmas;;
Travail;Dans Les Champs;Mancheron Partie De La Charrue Que LOn Tient é La Main;;;Fouire Mai;;;Mai;;;;
Travail;Dans Les Champs;Mauvais Terrain;;;Camalou;;;;;;;
Travail;Dans Les Champs;Mauvaise Terre;;;Levage;;;;;;;Levage
Travail;Dans Les Champs;Mettre Le Foin En Meule;;;Desmasclage;;;;;;;Desmasclage
Travail;Dans Les Champs;Mettre Le Soc é La Charrue;;;Rusqué;;;;;;;Rusqué
Travail;Dans Les Champs;Meule De Foin Allongée;;;Briar La Rusco;;;Rusco;;;;
Travail;Dans Les Champs;Museliére Du Cheval;;;Rusco Rusquello;;;;;;;Rusquello
Travail;Dans Les Champs;Nom Collectif Des Prés Et Prairies;;;Desrusca Rusca;;;;;;;Rusca
Travail;Dans Les Champs;Paysan Qui Met Peu DArdeur é La Téche;;;Rusqueja;;;;;;;Rusqueja
Travail;Dans Les Champs;Petit Blé Ou Trémois Argileux Mélé De Pierres;;;Ruscatié;;;;;;;Ruscatié
Travail;Dans Les Champs;Petite Mare DEau Qui Croupit;;;Lévado;;;;;;;
Travail;Dans Les Champs;Petite Source Qui Sort De Terre;;;Femela;;;;;;;Femela
Travail;Dans Les Champs;Piocher Labourer Houer Piocher X;;;Démaéragé Ou Brillage;;;;;;;
Travail;Dans Les Champs;Planche De Terre Labourée;;;Desmascla;;;;;;;Desmascla
Travail;Dans Les Champs;Poignée De Paille Ou Foin Donné é Une Béte De Somme;;;Maéré;;;;;;;
Travail;Dans Les Champs;Pré;;;Subre Suve;;;Subre Suve;;;;
Travail;Dans Les Champs;Rételier;;;Rusquié;;;;;;;Rusquié
Travail;Dans Les Champs;Récolte Ou Denrées;;;Desmasclaire;;;;;;;Desmasclaire
Travail;Dans Les Champs;Regain Herbe Des Prés Coupée Pour La Seconde Fois;;;Lévaérés;;;;;;;
Travail;Dans Les Champs;Rentrée Des Foins;;;Brilladouiro Briadouiro;;;;;;;Briadouiro
Travail;Dans Les Champs;Rentrer Les Foins;;;Mascle;;;;;;;Mascle
Travail;Dans Les Champs;Rompre La Croéte Qui Se Forme Au Sol Aprés La Pluie;;;Desmeira;;;;;;;Desmeira
Travail;Dans Les Champs;Sac Pendu é La Téte Des Mulets Ou énes Avec Du Foin Dedans;;;Castelet;;;;;;;Castelet
Travail;Dans Les Champs;Saison De La Récolte Des Foins;;;Magnanarié Magnanage;;;;;Magnanarié;;Magnanage
Travail;Dans Les Champs;Séparer La Paille Du Grain Avec Le Fauchet;;;Magnaniero Magnanaire;;;;;;;Magnanaire
Travail;Dans Les Champs;Sillon;;;Cabano Deis Magnans;;;;;;;
Travail;Dans Les Champs;Sillon Dans Les Champs;;;Fréso Présso Preisso;;;;;;;Fréso Preisso
Travail;Dans Les Champs;Tas De Foin X;;;Cabano Deis Magnams;;;;;Magnams;;
Travail;Dans Les Champs;Temps Propre é Une Plantation Saison;;;Mataou;;;;;Mataou;;
Travail;Dans Les Champs;Terrain é Bécher;;;Houpo;;;Houpo;;;;
Travail;Dans Les Champs;Terrain Peu Cultivé De Peu De Valeur;;;Bavello;;;;;;;Bavello
Travail;Dans Les Champs;Terrain Pierreux Mélé DArgile Rouge;;;Bavaduro Blaso;;;;;;;Bavaduro Blaso
Travail;Dans Les Champs;Terrain Pierreux Ou Ronces;;;Bavo De Magnan;;;;;Magnan;;
Travail;Dans Les Champs;Terre Inculte Couverte DHerbe Courte;;;Frézo Frésso Freso;;;;;Freso;;
Travail;Dans Les Champs;Terre Inculte Pleine DHerbe;;;Badafo Ginesto;;;Badafo Ginesto;;;;
Travail;Dans Les Champs;Terre Labourée Non Ensemencée;;;Espelidouiro Espelidou Ou Couvadou Faire éclore Espelimen;;;;;;;Espelidouiro Couvadou Espelimen
Travail;Dans Les Champs;Terre Rude;;;Barreto;;;;;;;
Travail;Dans Les Champs;Terre Usée;;;Estrasso;;;;;Estrasso;;
Travail;Dans Les Champs;Terres Incultes Et Inutiles;;;Caléu;;;;;;;Caléu
Travail;Dans Les Champs;Terser Ou Donner Un Troisiéme Labour;;;Ramaire;;;;;;;
