ThÃ¨me;CatÃ©gorie;Mot francais;Synonyme francais;Description;Traduction;TradEG;TradD;TradA;TradH;TradAv;TradP;TradX
Nature;Plantes Potageres;;;;Variété De Haricots Fayoou Bigarrat Tacheté Groumandoun Quarantié Quincarloto Bariolé Uei De Perdris;;;Tacheté;;;;Groumandoun Quarantié Bariolé Perdris
Nature;Plantes Potageres;Haricot;;;Mié Moussu;;;;;;;Moussu
Nature;Plantes Potageres;Haricot Nankin;;;Dént De Viéio;;;;;;;Viéio
Nature;Plantes Potageres;Haricots Blancs;;;Faiéu Mahounen;;;;;;;
Nature;Plantes Potageres;Haricots Blancs é écosser;;;Baneto Mounjhettos Et Fayoou Negre Fayoou Blanc;;;;;Negre Blanc;;
Nature;Plantes Potageres;Haricots Blancs Sans Fil;;;Mavounen Ou Mavoun;;;;;Mavoun;;
Nature;Plantes Potageres;Haricots Noirs;Doloric é Onglets;;FayoouBanet Ou FayoouNegre Haricots Secs Mounjhettos Mounjhetto Banetos Et Fayooux Banets Fayoou Neg;;;;;FayoouNegre Mounjhettos Mounjhetto Banets Negre;;
Nature;Plantes Potageres;Haricots Verts;;;Baneto Banetos é écosser Fayoou Vert Baneto Dolichos Ou Haricot De Chine Favoun;;;;;Vert;Banetos;Chine Favoun
Nature;Plantes Potageres;Laitue;;;Lachugo Grieou Ou Greou Cur De Laitue Qui Monte Lachugo Espigado Montée En Graine Lachugo Redouno La;;;Monte;;Lachugo;Espigado;Pommée
Nature;Plantes Potageres;Laitue Jeune;;;Lachuguetto Pour Replanter;;;Lachuguetto;;;;
Nature;Plantes Potageres;Laitue Longue;Chicon;;Lachugo Longo;;;Longo;;;;
Nature;Plantes Potageres;Laitue Petites Rondes;;;Menudo Ou Merindolo Ttes Sortes De Salades Du Printemps;;;;;Printemps;;
Nature;Plantes Potageres;Laitue Pommée;;;Lachugo Redouno;;;Redouno;;;;
